16-Aug-2019 11:12:53.245 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
16-Aug-2019 11:12:53.797 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
16-Aug-2019 11:15:07.780 INFO [TC: 11:15:07 Stage: Initializing TeamCity server components; TeamCity Server (version 2019.1.2 build 66342 started 2019-08-16 11:12:54.843), node id: MAIN_SERVER] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'buildServer'
16-Aug-2019 11:16:01.813 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
16-Aug-2019 11:16:01.820 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
16-Aug-2019 11:16:01.852 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
16-Aug-2019 11:16:02.467 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
16-Aug-2019 11:16:02.716 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
16-Aug-2019 11:16:02.818 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
16-Aug-2019 11:16:04.220 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.WadlGeneratorApplicationDoc
16-Aug-2019 11:16:04.233 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator jetbrains.buildServer.server.rest.jersey.WadlGenerator$PatchedWadlGenerator
16-Aug-2019 11:16:04.233 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.resourcedoc.WadlGeneratorResourceDocSupport
16-Aug-2019 11:16:04.497 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.WadlGeneratorApplicationDoc
16-Aug-2019 11:16:04.508 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator jetbrains.buildServer.server.rest.jersey.WadlGenerator$PatchedWadlGenerator
16-Aug-2019 11:16:04.509 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.resourcedoc.WadlGeneratorResourceDocSupport
16-Aug-2019 11:16:04.672 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.WadlGeneratorApplicationDoc
16-Aug-2019 11:16:04.916 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator jetbrains.buildServer.server.rest.jersey.WadlGenerator$PatchedWadlGenerator
16-Aug-2019 11:16:04.917 INFO [TC: 11:16:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.resourcedoc.WadlGeneratorResourceDocSupport
