[2019-08-20 09:13:19,202]   INFO [ no auth; http-nio-8111-exec-4] - Successful login for user 'anton' {id=1} with auth module "Default" for session FE1B7512B2... (new, created: 2019-08-20 09:13:19.038, timeout: 3600s) while processing request POST '/createAdminSubmit.html?username1=anton&submitCreateUser=&publicKey=00ac2fea97b0fbfce386f102bbf9919f8153c2fafbc36987b1aab1fcc99b6e0876c574cda63ba0f2a27eadaf94eb6c706b313564ac195563949e3c01ce1461c9c518b4e320e29a3e65ab59aad2544200d868c7fd3d7300ee22dc13b54943cffecdc4ad71a17f21e1785807c9b12a712f7c715d472cba7a41f1edeb6d8c923958e5&encryptedPassword1=1e765143858799fa4602ef7d12bd96306014a9f03c796c8a1e9e7387c6384e0e199a6befa300cd7013a9dc2b43ab60ea672379fded9a2ca74b5e231175b463a6a46811dc5249cca5436acf9...', from client 192.168.7.13:18180, authenticated as 'anton' {id=1}
[2019-08-20 09:13:46,248]   INFO [' {id=1}; http-nio-8111-exec-1] - Terminating sessions of current user. Requested by 'anton' (Anton Nichaienko) {id=1}
[2019-08-20 09:13:46,250]   INFO [' {id=1}; http-nio-8111-exec-1] - Deleting all rememberMe for user '1'
[2019-08-20 14:06:49,417]   INFO [          http-nio-8111-exec-6] - CSRF Header X-TC-CSRF-Token does not match CSRF session value, responding with 403 error. Request details: POST '/loginSubmit.html?username=anton&remember=true&_remember=&submitLogin=Log%20in&publicKey=00b1e7124ed2659bb5b1ab3d53d2d2e143e1e830cf083acb34b58f607af63408072f6df215807915f0466750fa919f241497c0417a37149d1a595713a6ef423c01e306bffeed1ca701e2a7b78fc355326a6b97752e01c131e1a79211e487e614c74c1b9f6b4c3b0355b786e3a9baf3351bd12adeb5daee49446cd175d73baa3597&encryptedPassword=610363fbab47647709a95ab832a646a0cfa06e52007f1751a0eae9fcf67002939ddad6fc1d508d4241b565e2bdb73b97c5275970cab11f4b63075a3f7701169db07...', from client 192.168.7.13:2065, no auth
[2019-08-20 14:07:30,099]   INFO [ no auth; http-nio-8111-exec-9] - Login for username "anton" failed, see details below
[2019-08-20 14:07:30,103]   INFO [ no auth; http-nio-8111-exec-9] - Login for user "anton" failed for module "Special Users" (jetbrains.buildServer.serverSide.impl.auth.SpecialUsersLoginModule), took 23ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Not a special user or login as special user is not allowed
[2019-08-20 14:07:30,103]   INFO [ no auth; http-nio-8111-exec-9] - Login for user "anton" failed for module "Built-in" (jetbrains.buildServer.serverSide.impl.auth.DefaultLoginModule), took 2ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Incorrect username or password.
[2019-08-20 14:07:30,103]   INFO [ no auth; http-nio-8111-exec-9] - Login for user "anton" failed for module "Token-Based Authentication" (jetbrains.buildServer.serverSide.impl.auth.TokenBasedLoginModule), took 3ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Malformed token
[2019-08-20 14:07:30,103]   INFO [ no auth; http-nio-8111-exec-9] - Failed user login attempt for POST '/loginSubmit.html?username=anton&_remember=&submitLogin=Log%20in&publicKey=00b1e7124ed2659bb5b1ab3d53d2d2e143e1e830cf083acb34b58f607af63408072f6df215807915f0466750fa919f241497c0417a37149d1a595713a6ef423c01e306bffeed1ca701e2a7b78fc355326a6b97752e01c131e1a79211e487e614c74c1b9f6b4c3b0355b786e3a9baf3351bd12adeb5daee49446cd175d73baa3597&encryptedPassword=1dfd61f0a3e78896edec9330f773bcdf31775b72367fe50709f29c448978a212b4f32a9d86d07e02b1824184b5f18c6e72ffaebc32f348b1d63423872549644d621678f800ccfa63e...', from client 192.168.7.13:2065, no auth: jetbrains.buildServer.serverSide.auth.AuthenticationFailedException: Incorrect username or password.
[2019-08-20 14:07:51,405]   INFO [ no auth; http-nio-8111-exec-4] - Successful login for user 'anton' (Anton Nichaienko) {id=1} with auth module "Default" for session 1CCC0CAB62... (new, created: 2019-08-20 14:07:51.366, timeout: 3600s) while processing request POST '/loginSubmit.html?username=anton&_remember=&submitLogin=Log%20in&publicKey=00b1e7124ed2659bb5b1ab3d53d2d2e143e1e830cf083acb34b58f607af63408072f6df215807915f0466750fa919f241497c0417a37149d1a595713a6ef423c01e306bffeed1ca701e2a7b78fc355326a6b97752e01c131e1a79211e487e614c74c1b9f6b4c3b0355b786e3a9baf3351bd12adeb5daee49446cd175d73baa3597&encryptedPassword=1faf359227c1bb9100dc1da21ef6211d041d9f220666798f2ca26cb0b87154e87677817a2db4fb5ab12d6160cfa7d183e3350cf1692cd9bb2aa65802dd078215c093da7e0ef0928a4...', from client 192.168.7.13:2065, authenticated as 'anton' (Anton Nichaienko) {id=1}
[2019-08-21 09:45:21,806]   INFO [          http-nio-8111-exec-1] - CSRF parameter tc-csrf-token does not match CSRF session value, responding with 403 error. Request details: POST '/admin/editBuildFeaturesList.html?prop:loginCheckbox=on&prop:login2registry=PROJECT_EXT_2&prop:invalidRegistry=&tc-csrf-token=00017d25-ce96-4461-9f10-71d3f46e4516&publicKey=00b1e7124ed2659bb5b1ab3d53d2d2e143e1e830cf083acb34b58f607af63408072f6df215807915f0466750fa919f241497c0417a37149d1a595713a6ef423c01e306bffeed1ca701e2a7b78fc355326a6b97752e01c131e1a79211e487e614c74c1b9f6b4c3b0355b786e3a9baf3351bd12adeb5daee49446cd175d73baa3597&id=buildType%3AGitDevOps03_GitDevOps03&featureType=&featureId=Doc...', from client 192.168.7.13:22710, no auth
